Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Ticket Status,Date Case Closed,Victim Group,Resolution Category,Time Of Crime,Month of Crime,Year of crime,Resolution_Days,Reporting_Delay
34499,9 Dec 2023,8 Dec 2023,9:22 PM,Ghaziabad,371,PUBLIC INTOXICATION,18,F,Unknown Weapon,Other Crime,11,Solved,6 Jan 2024,Adult,Fast,Night,Dec,2023,28.75,0.08
33287,19 Oct 2023,18 Oct 2023,3:54 AM,Nagpur,209,DRUG OFFENSE,24,M,Blunt Object,Other Crime,11,Solved,14 Nov 2023,Adult,Fast,Night,Oct,2023,26.08333333,0.71
13659,23 Jul 2021,23 Jul 2021,6:40 PM,Pune,137,ILLEGAL POSSESSION,19,F,Firearm,Other Crime,14,Active,Not Closed,Adult,Not Resolved,Afternoon,Jul,2021,Not Resolved,1.63
33447,27 Oct 2023,25 Oct 2023,11:12 PM,Lucknow,205,FIREARM OFFENSE,70,F,Other,Fire Accident,12,Solved,7 Jan 2024,Senior,Moderate,Night,Oct,2023,73.625,0.04
368,16 Jan 2020,16 Jan 2020,9:25 PM,Chennai,392,KIDNAPPING,31,M,Unknown Weapon,Other Crime,15,Active,Not Closed,Adult,Not Resolved,Night,Jan,2020,Not Resolved,2.38
36886,19 Mar 2024,16 Mar 2024,12:05 AM,Hyderabad,178,HOMICIDE,67,M,Firearm,Other Crime,13,Solved,20 Oct 2024,Senior,Very Slow,Night,Mar,2024,217.375,2.17
38106,8 May 2024,6 May 2024,12:44 AM,Delhi,543,IDENTITY THEFT,55,M,Other,Violent Crime,6,Active,Not Closed,Adult,Not Resolved,Night,May,2024,Not Resolved,0.50
26830,23 Jan 2023,22 Jan 2023,8:42 PM,Kalyan,119,SHOPLIFTING,47,M,Explosives,Other Crime,5,Active,Not Closed,Adult,Not Resolved,Night,Jan,2023,Not Resolved,1.71
38396,20 May 2024,18 May 2024,2:12 PM,Delhi,281,KIDNAPPING,26,F,Poison,Other Crime,3,Solved,16 Jul 2024,Adult,Moderate,Morning,May,2024,58.70833333,0.83
24560,21 Oct 2022,20 Oct 2022,6:24 AM,Mumbai,199,IDENTITY THEFT,40,M,Explosives,Violent Crime,18,Active,Not Closed,Adult,Not Resolved,Morning,Oct,2022,Not Resolved,2.42
16177,7 Nov 2021,5 Nov 2021,5:12 AM,Delhi,508,SHOPLIFTING,36,M,Blunt Object,Other Crime,6,Active,Not Closed,Adult,Not Resolved,Night,Nov,2021,Not Resolved,1.58
7100,24 Oct 2020,22 Oct 2020,2:18 PM,Bangalore,165,IDENTITY THEFT,35,F,Blunt Object,Violent Crime,16,Solved,11 Dec 2020,Adult,Moderate,Morning,Oct,2020,49.58333333,1.50
19732,3 Apr 2022,2 Apr 2022,1:37 AM,Ludhiana,421,HOMICIDE,21,M,Unknown Weapon,Other Crime,18,Active,Not Closed,Adult,Not Resolved,Night,Apr,2022,Not Resolved,0.79
36960,20 Mar 2024,19 Mar 2024,4:47 AM,Delhi,174,SHOPLIFTING,53,F,Explosives,Other Crime,19,Active,Not Closed,Adult,Not Resolved,Night,Mar,2024,Not Resolved,0.46
25778,10 Dec 2022,10 Dec 2022,2:52 PM,Delhi,592,BURGLARY,58,F,Explosives,Other Crime,14,Active,Not Closed,Adult,Not Resolved,Morning,Dec,2022,Not Resolved,1.63
9350,26 Jan 2021,24 Jan 2021,12:14 AM,Delhi,354,COUNTERFEITING,76,F,Firearm,Other Crime,6,Active,Not Closed,Senior,Not Resolved,Night,Jan,2021,Not Resolved,0.08
6642,3 Oct 2020,3 Oct 2020,1:50 AM,Ludhiana,497,ROBBERY,20,F,Firearm,Violent Crime,12,Active,Not Closed,Adult,Not Resolved,Night,Oct,2020,Not Resolved,0.08
27398,15 Feb 2023,15 Feb 2023,8:24 PM,Agra,487,ASSAULT,37,M,Firearm,Violent Crime,19,Active,Not Closed,Adult,Not Resolved,Night,Feb,2023,Not Resolved,2.75
26875,27 Jan 2023,24 Jan 2023,4:01 AM,Jaipur,441,DOMESTIC VIOLENCE,72,F,Other,Violent Crime,11,Active,Not Closed,Senior,Not Resolved,Night,Jan,2023,Not Resolved,1.50
15268,29 Sep 2021,28 Sep 2021,12:12 PM,Ahmedabad,369,PUBLIC INTOXICATION,57,F,Firearm,Other Crime,19,Solved,26 Oct 2021,Adult,Fast,Morning,Sep,2021,28.5,0.46
33364,22 Oct 2023,22 Oct 2023,3:49 PM,Surat,134,SEXUAL ASSAULT,40,F,Poison,Violent Crime,17,Solved,29 Oct 2024,Adult,Very Slow,Morning,Oct,2023,373.4583333,1.83
10047,24 Feb 2021,22 Feb 2021,2:21 PM,Kanpur,459,HOMICIDE,65,F,Poison,Other Crime,7,Active,Not Closed,Senior,Not Resolved,Morning,Feb,2021,Not Resolved,2.08
23154,24 Aug 2022,22 Aug 2022,9:06 AM,Jaipur,301,HOMICIDE,73,Other,Blunt Object,Other Crime,16,Active,Not Closed,Senior,Not Resolved,Morning,Aug,2022,Not Resolved,0.17
13876,1 Aug 2021,1 Aug 2021,8:37 PM,Mumbai,139,ROBBERY,47,F,Unknown Weapon,Violent Crime,9,Active,Not Closed,Adult,Not Resolved,Night,Aug,2021,Not Resolved,1.21
13873,2 Aug 2021,1 Aug 2021,10:04 AM,Delhi,489,HOMICIDE,36,F,Explosives,Other Crime,3,Active,Not Closed,Adult,Not Resolved,Morning,Aug,2021,Not Resolved,0.67
1129,17 Feb 2020,17 Feb 2020,9:44 PM,Kanpur,175,TRAFFIC VIOLATION,65,F,Firearm,Traffic Fatality,5,Active,Not Closed,Senior,Not Resolved,Night,Feb,2020,Not Resolved,0.75
21148,31 May 2022,31 May 2022,8:06 PM,Bangalore,306,EXTORTION,51,M,Blunt Object,Other Crime,7,Active,Not Closed,Adult,Not Resolved,Night,May,2022,Not Resolved,1.88
21526,17 Jun 2022,15 Jun 2022,8:56 PM,Bangalore,344,EXTORTION,35,M,Firearm,Other Crime,4,Active,Not Closed,Adult,Not Resolved,Night,Jun,2022,Not Resolved,2.54
3526,29 May 2020,26 May 2020,11:41 AM,Nagpur,515,VEHICLE - STOLEN,78,F,Poison,Violent Crime,17,Active,Not Closed,Senior,Not Resolved,Morning,May,2020,Not Resolved,0.50
2119,29 Mar 2020,29 Mar 2020,11:37 AM,Delhi,146,FIREARM OFFENSE,10,F,Poison,Fire Accident,5,Solved,17 Apr 2020,Minor,Fast,Morning,Mar,2020,19.5,2.75
33407,26 Oct 2023,23 Oct 2023,9:55 PM,Hyderabad,356,EXTORTION,24,M,Explosives,Other Crime,8,Solved,1 Jan 2024,Adult,Moderate,Night,Oct,2023,69.75,2.33
24919,6 Nov 2022,4 Nov 2022,10:39 AM,Lucknow,301,DOMESTIC VIOLENCE,40,Other,Other,Violent Crime,19,Solved,7 Jan 2023,Adult,Moderate,Morning,Nov,2022,64.33333333,0.92
16916,6 Dec 2021,5 Dec 2021,2:02 AM,Kanpur,116,TRAFFIC VIOLATION,61,Other,Poison,Traffic Fatality,10,Solved,31 Dec 2021,Senior,Fast,Night,Dec,2021,25.91666667,1.88
37212,1 Apr 2024,30 Mar 2024,1:16 PM,Hyderabad,481,SEXUAL ASSAULT,65,M,Explosives,Violent Crime,18,Solved,1 Feb 2025,Senior,Very Slow,Morning,Mar,2024,307.875,0.13
19345,17 Mar 2022,17 Mar 2022,3:44 AM,Ahmedabad,302,PUBLIC INTOXICATION,15,M,Firearm,Other Crime,14,Solved,19 Mar 2022,Minor,Very Fast,Night,Mar,2022,2.125,1.71
28602,8 Apr 2023,6 Apr 2023,1:48 PM,Delhi,208,ROBBERY,14,M,Knife,Violent Crime,6,Active,Not Closed,Minor,Not Resolved,Morning,Apr,2023,Not Resolved,1.33
13720,26 Jul 2021,25 Jul 2021,7:32 PM,Patna,174,COUNTERFEITING,21,F,Knife,Other Crime,19,Active,Not Closed,Adult,Not Resolved,Afternoon,Jul,2021,Not Resolved,0.04
37438,8 Apr 2024,8 Apr 2024,4:28 PM,Kanpur,448,BURGLARY,11,M,Unknown Weapon,Other Crime,13,Active,Not Closed,Minor,Not Resolved,Afternoon,Apr,2024,Not Resolved,1.50
31124,22 Jul 2023,20 Jul 2023,6:13 AM,Agra,135,ASSAULT,43,F,Firearm,Violent Crime,2,Solved,7 Aug 2023,Adult,Fast,Morning,Jul,2023,17.5,0.50
16364,13 Nov 2021,12 Nov 2021,2:44 PM,Delhi,581,EXTORTION,15,F,Knife,Other Crime,7,Solved,10 Dec 2021,Minor,Fast,Morning,Nov,2021,27.5,1.58
26467,9 Jan 2023,7 Jan 2023,1:03 AM,Bangalore,252,ARSON,45,Other,Blunt Object,Fire Accident,12,Active,Not Closed,Adult,Not Resolved,Night,Jan,2023,Not Resolved,1.63
19411,21 Mar 2022,19 Mar 2022,4:07 AM,Kolkata,115,ASSAULT,47,F,Poison,Violent Crime,1,Solved,28 May 2022,Adult,Moderate,Night,Mar,2022,69.625,2.33
15786,22 Oct 2021,19 Oct 2021,8:33 PM,Varanasi,285,EXTORTION,10,M,Blunt Object,Other Crime,8,Active,Not Closed,Minor,Not Resolved,Night,Oct,2021,Not Resolved,1.21
31034,18 Jul 2023,17 Jul 2023,10:08 AM,Patna,599,FIREARM OFFENSE,24,M,Other,Fire Accident,7,Active,Not Closed,Adult,Not Resolved,Morning,Jul,2023,Not Resolved,1.88
5450,16 Aug 2020,15 Aug 2020,7:42 PM,Visakhapatnam,289,ROBBERY,43,F,Other,Violent Crime,10,Solved,8 Nov 2020,Adult,Moderate,Afternoon,Aug,2020,85.875,0.67
25859,14 Dec 2022,13 Dec 2022,1:04 AM,Kolkata,414,SHOPLIFTING,42,Other,Knife,Other Crime,12,Active,Not Closed,Adult,Not Resolved,Night,Dec,2022,Not Resolved,2.54
3674,4 Jun 2020,2 Jun 2020,5:36 PM,Ludhiana,164,BURGLARY,17,F,Other,Other Crime,7,Active,Not Closed,Minor,Not Resolved,Afternoon,Jun,2020,Not Resolved,1.08
25633,5 Dec 2022,4 Dec 2022,3:03 PM,Bangalore,342,ILLEGAL POSSESSION,25,Other,Unknown Weapon,Other Crime,3,Solved,19 Feb 2023,Adult,Moderate,Morning,Dec,2022,77.08333333,1.79
33827,12 Nov 2023,10 Nov 2023,4:34 PM,Thane,454,PUBLIC INTOXICATION,31,F,Unknown Weapon,Other Crime,10,Solved,11 Dec 2023,Adult,Fast,Afternoon,Nov,2023,30.79166667,0.21
6141,13 Sep 2020,12 Sep 2020,4:43 PM,Bangalore,402,KIDNAPPING,60,M,Knife,Other Crime,3,Active,Not Closed,Senior,Not Resolved,Afternoon,Sep,2020,Not Resolved,1.79
25828,13 Dec 2022,12 Dec 2022,2:15 AM,Ghaziabad,470,PUBLIC INTOXICATION,15,Other,Knife,Other Crime,15,Solved,6 Jan 2023,Minor,Fast,Night,Dec,2022,25.79166667,1.00
11203,12 Apr 2021,11 Apr 2021,8:58 AM,Nagpur,179,SHOPLIFTING,55,F,Explosives,Other Crime,2,Solved,27 Jun 2021,Adult,Moderate,Morning,Apr,2021,77,2.88
11925,14 May 2021,11 May 2021,3:51 AM,Patna,503,ASSAULT,22,F,Knife,Violent Crime,17,Active,Not Closed,Adult,Not Resolved,Night,May,2021,Not Resolved,2.04
8303,13 Dec 2020,11 Dec 2020,12:41 PM,Thane,448,FRAUD,45,F,Poison,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Morning,Dec,2020,Not Resolved,0.63
19500,24 Mar 2022,23 Mar 2022,5:48 AM,Kolkata,224,COUNTERFEITING,25,M,Explosives,Other Crime,3,Active,Not Closed,Adult,Not Resolved,Night,Mar,2022,Not Resolved,1.88
30864,11 Jul 2023,9 Jul 2023,9:45 PM,Mumbai,479,EXTORTION,67,M,Other,Other Crime,14,Active,Not Closed,Senior,Not Resolved,Night,Jul,2023,Not Resolved,2.42
34586,14 Dec 2023,12 Dec 2023,3:02 AM,Lucknow,510,SEXUAL ASSAULT,49,F,Knife,Violent Crime,5,Solved,20 Oct 2025,Adult,Very Slow,Night,Dec,2023,678.4166667,0.92
30492,25 Jun 2023,24 Jun 2023,4:11 PM,Mumbai,203,FIREARM OFFENSE,36,M,Unknown Weapon,Fire Accident,14,Active,Not Closed,Adult,Not Resolved,Afternoon,Jun,2023,Not Resolved,1.83
34188,27 Nov 2023,25 Nov 2023,6:02 PM,Bangalore,410,BURGLARY,40,M,Firearm,Other Crime,6,Solved,17 Mar 2024,Adult,Slow,Afternoon,Nov,2023,112.8333333,1.58
32246,7 Sep 2023,5 Sep 2023,1:49 PM,Pune,298,KIDNAPPING,27,F,Other,Other Crime,8,Solved,15 Oct 2023,Adult,Moderate,Morning,Sep,2023,39.58333333,2.21
392,19 Jan 2020,17 Jan 2020,5:42 PM,Delhi,409,ILLEGAL POSSESSION,54,F,Knife,Other Crime,17,Solved,10 Mar 2020,Adult,Moderate,Afternoon,Jan,2020,53.20833333,1.29
28202,22 Mar 2023,21 Mar 2023,3:31 AM,Mumbai,549,ARSON,21,M,Poison,Fire Accident,12,Active,Not Closed,Adult,Not Resolved,Night,Mar,2023,Not Resolved,0.79
38025,4 May 2024,3 May 2024,3:54 AM,Hyderabad,186,ASSAULT,25,F,Other,Violent Crime,5,Solved,20 May 2024,Adult,Fast,Night,May,2024,16.79166667,0.96
17022,11 Dec 2021,10 Dec 2021,5:46 AM,Kolkata,510,COUNTERFEITING,16,Other,Poison,Other Crime,6,Solved,16 Feb 2022,Minor,Moderate,Night,Dec,2021,67.95833333,0.96
2188,2 Apr 2020,1 Apr 2020,3:08 AM,Mumbai,470,TRAFFIC VIOLATION,79,M,Unknown Weapon,Traffic Fatality,1,Solved,6 Apr 2020,Senior,Very Fast,Night,Apr,2020,4.958333333,1.88
21346,10 Jun 2022,8 Jun 2022,5:11 AM,Pune,223,SHOPLIFTING,13,Other,Knife,Other Crime,8,Active,Not Closed,Minor,Not Resolved,Night,Jun,2022,Not Resolved,2.13
16712,29 Nov 2021,27 Nov 2021,8:30 PM,Mumbai,112,VEHICLE - STOLEN,66,Other,Unknown Weapon,Violent Crime,10,Solved,3 Jan 2022,Senior,Moderate,Night,Nov,2021,37.125,2.13
9702,10 Feb 2021,8 Feb 2021,1:03 PM,Bangalore,309,DOMESTIC VIOLENCE,41,F,Blunt Object,Violent Crime,7,Active,Not Closed,Adult,Not Resolved,Morning,Feb,2021,Not Resolved,1.13
32163,3 Sep 2023,2 Sep 2023,7:18 AM,Hyderabad,144,HOMICIDE,77,F,Blunt Object,Other Crime,1,Active,Not Closed,Senior,Not Resolved,Morning,Sep,2023,Not Resolved,2.46
16604,25 Nov 2021,22 Nov 2021,1:36 PM,Bhopal,480,ARSON,57,F,Unknown Weapon,Fire Accident,6,Active,Not Closed,Adult,Not Resolved,Morning,Nov,2021,Not Resolved,1.58
9332,25 Jan 2021,23 Jan 2021,2:45 AM,Jaipur,144,VEHICLE - STOLEN,68,Other,Blunt Object,Violent Crime,13,Active,Not Closed,Senior,Not Resolved,Night,Jan,2021,Not Resolved,1.00
38415,20 May 2024,19 May 2024,12:03 AM,Nashik,215,BURGLARY,62,F,Poison,Other Crime,9,Active,Not Closed,Senior,Not Resolved,Night,May,2024,Not Resolved,1.58
24212,7 Oct 2022,5 Oct 2022,12:06 PM,Lucknow,597,VEHICLE - STOLEN,50,Other,Knife,Violent Crime,2,Active,Not Closed,Adult,Not Resolved,Morning,Oct,2022,Not Resolved,0.38
14746,6 Sep 2021,6 Sep 2021,9:00 AM,Bangalore,297,PUBLIC INTOXICATION,55,F,Explosives,Other Crime,2,Solved,8 Sep 2021,Adult,Very Fast,Morning,Sep,2021,2.375,1.38
27938,11 Mar 2023,10 Mar 2023,3:35 PM,Nagpur,599,BURGLARY,51,F,Other,Other Crime,7,Solved,12 Jun 2023,Adult,Slow,Morning,Mar,2023,94.375,1.83
9621,6 Feb 2021,4 Feb 2021,1:13 PM,Mumbai,291,DRUG OFFENSE,37,F,Explosives,Other Crime,12,Active,Not Closed,Adult,Not Resolved,Morning,Feb,2021,Not Resolved,0.79
22147,12 Jul 2022,11 Jul 2022,3:45 AM,Jaipur,581,PUBLIC INTOXICATION,58,Other,Explosives,Other Crime,17,Solved,28 Jul 2022,Adult,Fast,Night,Jul,2022,16.79166667,1.92
38878,9 Jun 2024,7 Jun 2024,12:01 PM,Bangalore,509,BURGLARY,28,F,Unknown Weapon,Other Crime,17,Solved,6 Sep 2024,Adult,Moderate,Morning,Jun,2024,90.91666667,2.17
33251,19 Oct 2023,17 Oct 2023,8:57 AM,Ahmedabad,507,EXTORTION,51,F,Poison,Other Crime,18,Solved,29 Dec 2023,Adult,Moderate,Morning,Oct,2023,73.16666667,0.33
4771,18 Jul 2020,17 Jul 2020,7:58 AM,Varanasi,138,ROBBERY,35,M,Other,Violent Crime,6,Solved,12 Dec 2020,Adult,Slow,Morning,Jul,2020,147.3333333,2.21
25226,19 Nov 2022,17 Nov 2022,11:48 PM,Bhopal,563,VEHICLE - STOLEN,12,Other,Unknown Weapon,Violent Crime,10,Solved,7 Jan 2023,Minor,Moderate,Night,Nov,2022,51.20833333,1.04
39510,5 Jul 2024,4 Jul 2024,5:14 PM,Nagpur,211,HOMICIDE,77,M,Knife,Other Crime,12,Solved,26 Aug 2025,Senior,Very Slow,Afternoon,Jul,2024,418.0416667,1.79
33377,24 Oct 2023,22 Oct 2023,6:04 AM,Mumbai,124,ASSAULT,47,F,Firearm,Violent Crime,13,Active,Not Closed,Adult,Not Resolved,Morning,Oct,2023,Not Resolved,1.46
17247,21 Dec 2021,19 Dec 2021,1:01 PM,Nagpur,137,IDENTITY THEFT,46,Other,Knife,Violent Crime,14,Solved,4 Mar 2022,Adult,Moderate,Morning,Dec,2021,74.45833333,1.38
39035,15 Jun 2024,14 Jun 2024,6:17 PM,Vasai,243,VEHICLE - STOLEN,69,M,Firearm,Violent Crime,12,Solved,9 Jul 2024,Senior,Fast,Afternoon,Jun,2024,25.375,2.50
25277,21 Nov 2022,19 Nov 2022,8:57 AM,Hyderabad,142,ASSAULT,74,Other,Explosives,Violent Crime,16,Active,Not Closed,Senior,Not Resolved,Morning,Nov,2022,Not Resolved,1.71
34717,19 Dec 2023,17 Dec 2023,6:06 AM,Srinagar,474,ROBBERY,38,F,Blunt Object,Violent Crime,8,Solved,23 Mar 2024,Adult,Slow,Morning,Dec,2023,96.70833333,0.71
13077,29 Jun 2021,28 Jun 2021,2:17 AM,Delhi,295,HOMICIDE,29,F,Explosives,Other Crime,19,Solved,21 Oct 2022,Adult,Very Slow,Night,Jun,2021,479.7083333,1.79
18616,16 Feb 2022,14 Feb 2022,9:26 PM,Delhi,481,FIREARM OFFENSE,65,M,Firearm,Fire Accident,15,Solved,22 Mar 2022,Senior,Moderate,Night,Feb,2022,35.79166667,2.38
16914,8 Dec 2021,5 Dec 2021,3:24 AM,Kolkata,299,BURGLARY,40,F,Poison,Other Crime,5,Solved,8 Apr 2022,Adult,Slow,Night,Dec,2021,123.375,2.25
35529,22 Jan 2024,20 Jan 2024,5:05 AM,Visakhapatnam,405,CYBERCRIME,74,M,Blunt Object,Other Crime,16,Solved,19 Mar 2024,Senior,Moderate,Night,Jan,2024,59.25,1.63
34102,23 Nov 2023,21 Nov 2023,12:25 PM,Ghaziabad,140,ARSON,15,F,Firearm,Fire Accident,4,Active,Not Closed,Minor,Not Resolved,Morning,Nov,2023,Not Resolved,0.17
10178,28 Feb 2021,28 Feb 2021,2:46 PM,Jaipur,302,KIDNAPPING,33,F,Unknown Weapon,Other Crime,6,Active,Not Closed,Adult,Not Resolved,Morning,Feb,2021,Not Resolved,2.04
28971,24 Apr 2023,22 Apr 2023,4:41 PM,Bangalore,399,ARSON,37,Other,Other,Fire Accident,19,Solved,2 Jul 2023,Adult,Moderate,Afternoon,Apr,2023,71.04166667,0.58
21126,30 May 2022,30 May 2022,12:59 AM,Pune,514,DRUG OFFENSE,39,F,Explosives,Other Crime,11,Active,Not Closed,Adult,Not Resolved,Night,May,2022,Not Resolved,1.38
171,9 Jan 2020,8 Jan 2020,6:43 PM,Agra,352,COUNTERFEITING,24,M,Unknown Weapon,Other Crime,14,Solved,11 Mar 2020,Adult,Moderate,Afternoon,Jan,2020,63.375,2.33
10817,29 Mar 2021,26 Mar 2021,2:51 PM,Ghaziabad,359,IDENTITY THEFT,17,F,Poison,Violent Crime,2,Active,Not Closed,Minor,Not Resolved,Morning,Mar,2021,Not Resolved,2.92
10959,4 Apr 2021,1 Apr 2021,6:37 AM,Indore,339,ROBBERY,41,F,Firearm,Violent Crime,2,Active,Not Closed,Adult,Not Resolved,Morning,Apr,2021,Not Resolved,1.42
21409,12 Jun 2022,11 Jun 2022,2:34 PM,Delhi,555,VANDALISM,14,F,Other,Other Crime,4,Solved,23 Jun 2022,Minor,Fast,Morning,Jun,2022,12.41666667,2.75
19025,6 Mar 2022,3 Mar 2022,6:42 PM,Chennai,531,DRUG OFFENSE,55,M,Explosives,Other Crime,5,Active,Not Closed,Adult,Not Resolved,Afternoon,Mar,2022,Not Resolved,1.63
105,6 Jan 2020,5 Jan 2020,7:30 PM,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,Active,Not Closed,Adult,Not Resolved,Afternoon,Jan,2020,Not Resolved,1.88
19205,13 Mar 2022,11 Mar 2022,7:44 AM,Ahmedabad,420,ASSAULT,27,F,Knife,Violent Crime,8,Solved,18 May 2022,Adult,Moderate,Morning,Mar,2022,67.875,1.00
17502,31 Dec 2021,30 Dec 2021,2:03 AM,Ahmedabad,225,DOMESTIC VIOLENCE,22,M,Unknown Weapon,Violent Crime,7,Solved,27 Mar 2022,Adult,Moderate,Night,Dec,2021,87,2.50
36808,16 Mar 2024,13 Mar 2024,3:01 PM,Vasai,397,DOMESTIC VIOLENCE,60,M,Unknown Weapon,Violent Crime,17,Active,Not Closed,Senior,Not Resolved,Morning,Mar,2024,Not Resolved,2.63
5929,6 Sep 2020,4 Sep 2020,9:11 AM,Pune,351,VEHICLE - STOLEN,33,M,Poison,Violent Crime,3,Active,Not Closed,Adult,Not Resolved,Morning,Sep,2020,Not Resolved,2.83
11678,4 May 2021,1 May 2021,12:14 AM,Delhi,387,DOMESTIC VIOLENCE,56,M,Explosives,Violent Crime,17,Solved,25 May 2021,Adult,Fast,Night,May,2021,23.83333333,2.83
12778,19 Jun 2021,16 Jun 2021,8:32 AM,Varanasi,331,VEHICLE - STOLEN,17,M,Firearm,Violent Crime,14,Solved,27 Jul 2021,Minor,Moderate,Morning,Jun,2021,40.83333333,1.58
27194,8 Feb 2023,7 Feb 2023,10:04 PM,Bangalore,567,PUBLIC INTOXICATION,61,F,Firearm,Other Crime,8,Solved,14 Feb 2023,Senior,Very Fast,Night,Feb,2023,7.583333333,1.25
13097,30 Jun 2021,29 Jun 2021,7:17 AM,Mumbai,363,BURGLARY,41,M,Knife,Other Crime,3,Active,Not Closed,Adult,Not Resolved,Morning,Jun,2021,Not Resolved,0.63
1300,24 Feb 2020,24 Feb 2020,3:02 PM,Hyderabad,454,SEXUAL ASSAULT,28,M,Unknown Weapon,Violent Crime,1,Solved,7 Dec 2020,Adult,Very Slow,Morning,Feb,2020,287.625,1.54
24065,1 Oct 2022,29 Sep 2022,11:51 AM,Delhi,207,ROBBERY,29,F,Poison,Violent Crime,5,Active,Not Closed,Adult,Not Resolved,Morning,Sep,2022,Not Resolved,0.08
9218,19 Jan 2021,19 Jan 2021,7:18 PM,Nagpur,529,DRUG OFFENSE,64,M,Firearm,Other Crime,15,Solved,6 Apr 2021,Senior,Moderate,Afternoon,Jan,2021,77.08333333,0.88
18542,12 Feb 2022,11 Feb 2022,9:09 PM,Delhi,527,ASSAULT,12,M,Knife,Violent Crime,2,Solved,29 Apr 2022,Minor,Moderate,Night,Feb,2022,76.875,2.67
9470,1 Feb 2021,29 Jan 2021,3:14 PM,Nagpur,173,ASSAULT,27,F,Other,Violent Crime,18,Solved,2 Apr 2021,Adult,Moderate,Morning,Jan,2021,62.66666667,1.54
5119,2 Aug 2020,1 Aug 2020,6:29 PM,Nagpur,483,IDENTITY THEFT,48,F,Explosives,Violent Crime,6,Solved,14 Oct 2020,Adult,Moderate,Afternoon,Aug,2020,74.54166667,1.75
11935,14 May 2021,12 May 2021,11:15 AM,Nashik,587,ARSON,61,F,Blunt Object,Fire Accident,13,Active,Not Closed,Senior,Not Resolved,Morning,May,2021,Not Resolved,0.29
1937,21 Mar 2020,21 Mar 2020,2:07 PM,Mumbai,597,DOMESTIC VIOLENCE,12,F,Firearm,Violent Crime,3,Active,Not Closed,Minor,Not Resolved,Morning,Mar,2020,Not Resolved,0.67
2376,9 Apr 2020,8 Apr 2020,1:52 PM,Nagpur,156,FRAUD,70,M,Other,Other Crime,13,Active,Not Closed,Senior,Not Resolved,Morning,Apr,2020,Not Resolved,1.58
20712,14 May 2022,12 May 2022,3:39 PM,Mumbai,187,PUBLIC INTOXICATION,40,Other,Blunt Object,Other Crime,19,Solved,15 May 2022,Adult,Very Fast,Morning,May,2022,2.583333333,2.50
15149,25 Sep 2021,23 Sep 2021,5:52 AM,Kolkata,465,FRAUD,67,M,Unknown Weapon,Other Crime,15,Solved,12 Dec 2021,Senior,Moderate,Night,Sep,2021,80.5,0.33
8265,10 Dec 2020,10 Dec 2020,1:31 AM,Chennai,188,EXTORTION,25,F,Other,Other Crime,19,Solved,29 Jan 2021,Adult,Moderate,Night,Dec,2020,50.33333333,0.50
22304,18 Jul 2022,18 Jul 2022,6:18 AM,Thane,415,DOMESTIC VIOLENCE,56,M,Unknown Weapon,Violent Crime,13,Solved,14 Oct 2022,Adult,Moderate,Morning,Jul,2022,88.5,0.21
22522,27 Jul 2022,27 Jul 2022,10:33 AM,Lucknow,518,ASSAULT,25,Other,Blunt Object,Violent Crime,6,Solved,21 Sep 2022,Adult,Moderate,Morning,Jul,2022,56.20833333,0.58
38907,9 Jun 2024,9 Jun 2024,12:56 PM,Kolkata,214,FIREARM OFFENSE,31,M,Firearm,Fire Accident,1,Solved,10 Jul 2024,Adult,Moderate,Morning,Jun,2024,31.58333333,0.92
28692,11 Apr 2023,10 Apr 2023,10:15 PM,Lucknow,124,EXTORTION,26,Other,Poison,Other Crime,5,Solved,4 Jul 2023,Adult,Moderate,Night,Apr,2023,84.91666667,2.25
5920,5 Sep 2020,3 Sep 2020,3:17 AM,Chennai,197,VANDALISM,74,M,Knife,Other Crime,8,Active,Not Closed,Senior,Not Resolved,Night,Sep,2020,Not Resolved,0.25
32563,19 Sep 2023,18 Sep 2023,1:03 PM,Ahmedabad,203,IDENTITY THEFT,57,F,Blunt Object,Violent Crime,15,Active,Not Closed,Adult,Not Resolved,Morning,Sep,2023,Not Resolved,1.29
31061,19 Jul 2023,18 Jul 2023,6:49 AM,Ghaziabad,341,CYBERCRIME,22,F,Poison,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Morning,Jul,2023,Not Resolved,0.63
26794,22 Jan 2023,21 Jan 2023,5:48 AM,Pune,552,KIDNAPPING,19,M,Explosives,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Night,Jan,2023,Not Resolved,0.67
8785,1 Jan 2021,1 Jan 2021,3:06 AM,Thane,240,CYBERCRIME,26,M,Other,Other Crime,15,Active,Not Closed,Adult,Not Resolved,Night,Jan,2021,Not Resolved,2.29
1211,22 Feb 2020,20 Feb 2020,5:27 PM,Kanpur,218,ILLEGAL POSSESSION,53,F,Knife,Other Crime,4,Solved,8 Apr 2020,Adult,Moderate,Afternoon,Feb,2020,48.29166667,2.17
30536,28 Jun 2023,26 Jun 2023,3:18 PM,Kolkata,408,FIREARM OFFENSE,67,M,Knife,Fire Accident,14,Solved,27 Aug 2023,Senior,Moderate,Morning,Jun,2023,62.16666667,2.25
